userId,movieId,rating,timestamp,datetime
1,1,4.0,2000-07-31 00:15:03,2000-07-30 18:45:03
1,47,5.0,2000-07-31 00:33:35,2000-07-30 19:03:35
1,50,5.0,2000-07-31 00:18:51,2000-07-30 18:48:51
1,70,3.0,2000-07-31 00:10:00,2000-07-30 18:40:00
1,101,5.0,2000-07-30 23:44:28,2000-07-30 18:14:28
1,110,4.0,2000-07-31 00:06:16,2000-07-30 18:36:16
1,151,5.0,2000-07-31 00:37:21,2000-07-30 19:07:21
1,163,5.0,2000-07-31 00:30:50,2000-07-30 19:00:50
1,223,3.0,2000-07-30 23:46:25,2000-07-30 18:16:25
1,231,5.0,2000-07-30 23:49:39,2000-07-30 18:19:39
1,235,4.0,2000-07-30 23:45:08,2000-07-30 18:15:08
1,260,5.0,2000-07-30 23:58:00,2000-07-30 18:28:00
1,296,3.0,2000-07-31 00:19:27,2000-07-30 18:49:27
1,349,4.0,2000-07-31 00:12:43,2000-07-30 18:42:43
1,356,4.0,2000-07-30 23:46:02,2000-07-30 18:16:02
1,367,4.0,2000-07-30 23:58:30,2000-07-30 18:28:30
1,441,4.0,2000-07-30 23:44:28,2000-07-30 18:14:28
1,457,5.0,2000-07-31 00:01:49,2000-07-30 18:31:49
1,480,4.0,2000-07-31 00:09:06,2000-07-30 18:39:06
1,500,3.0,2000-07-30 23:50:08,2000-07-30 18:20:08
1,527,5.0,2000-07-31 00:36:42,2000-07-30 19:06:42
1,553,5.0,2000-07-31 00:39:13,2000-07-30 19:09:13
1,590,4.0,2000-07-31 00:12:26,2000-07-30 18:42:26
1,592,4.0,2000-07-31 00:07:51,2000-07-30 18:37:51
1,593,4.0,2000-07-31 00:33:13,2000-07-30 19:03:13
1,596,5.0,2000-07-31 00:17:18,2000-07-30 18:47:18
1,648,3.0,2000-07-31 00:12:43,2000-07-30 18:42:43
1,673,3.0,2000-07-30 23:59:35,2000-07-30 18:29:35
1,733,4.0,2000-07-31 00:10:00,2000-07-30 18:40:00
1,736,3.0,2000-07-31 00:14:13,2000-07-30 18:44:13
1,780,3.0,2000-07-31 00:38:06,2000-07-30 19:08:06
1,804,4.0,2000-07-30 23:38:19,2000-07-30 18:08:19
1,919,5.0,2000-07-31 00:11:15,2000-07-30 18:41:15
1,954,5.0,2000-07-31 00:23:39,2000-07-30 18:53:39
1,1042,4.0,2000-07-30 23:49:39,2000-07-30 18:19:39
1,1049,5.0,2000-07-31 00:10:00,2000-07-30 18:40:00
1,1060,4.0,2000-07-30 23:45:24,2000-07-30 18:15:24
1,1073,5.0,2000-07-30 23:58:00,2000-07-30 18:28:00
1,1089,5.0,2000-07-31 00:19:11,2000-07-30 18:49:11
1,1090,4.0,2000-07-31 00:36:58,2000-07-30 19:06:58
1,1097,5.0,2000-07-30 23:58:00,2000-07-30 18:28:00
1,1127,4.0,2000-07-31 00:11:53,2000-07-30 18:41:53
1,1136,5.0,2000-07-30 23:52:07,2000-07-30 18:22:07
1,1196,5.0,2000-07-31 00:00:27,2000-07-30 18:30:27
1,1197,5.0,2000-07-31 00:01:12,2000-07-30 18:31:12
1,1198,5.0,2000-07-31 00:00:27,2000-07-30 18:30:27
1,1208,4.0,2000-07-31 00:24:10,2000-07-30 18:54:10
1,1210,5.0,2000-07-30 23:38:19,2000-07-30 18:08:19
1,1213,5.0,2000-07-31 00:19:11,2000-07-30 18:49:11
1,1214,4.0,2000-07-31 00:00:55,2000-07-30 18:30:55
1,1219,2.0,2000-07-31 00:26:33,2000-07-30 18:56:33
1,1220,5.0,2000-07-31 00:01:49,2000-07-30 18:31:49
1,1224,5.0,2000-07-31 00:36:58,2000-07-30 19:06:58
1,1240,5.0,2000-07-31 00:32:03,2000-07-30 19:02:03
1,1258,3.0,2000-07-31 00:26:54,2000-07-30 18:56:54
1,1265,4.0,2000-07-31 00:29:59,2000-07-30 18:59:59
1,1270,5.0,2000-07-31 00:31:45,2000-07-30 19:01:45
1,1275,5.0,2000-07-31 00:08:10,2000-07-30 18:38:10
1,1278,5.0,2000-07-31 00:26:54,2000-07-30 18:56:54
1,1282,5.0,2000-07-31 00:15:03,2000-07-30 18:45:03
1,1291,5.0,2000-07-31 00:01:49,2000-07-30 18:31:49
1,1377,3.0,2000-07-31 00:14:13,2000-07-30 18:44:13
1,1408,3.0,2000-07-31 00:08:30,2000-07-30 18:38:30
1,1500,4.0,2000-07-30 23:46:25,2000-07-30 18:16:25
1,1517,5.0,2000-07-30 23:48:27,2000-07-30 18:18:27
